,class,largest spot,spot distribution,activity,evolution,24 hour flare activity,historically complex,complexity on this sun disk pass,area,area of largest spot,total flares
38,6,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,48.0
39,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
40,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
41,1,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,0.0
42,3,6.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,9.0
43,4,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,11.0
44,3,4.0,3.0,1.0,3.0,,2.0,2.0,1.0,1.0,3.0
45,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
46,6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
47,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
48,3,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,27.0
49,4,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,9.0
50,2,2.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,3.0
51,4,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,,6.0
52,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
53,3,4.0,3.0,2.0,3.0,1.0,,2.0,1.0,,6.0
54,4,4.0,,2.0,3.0,1.0,2.0,2.0,1.0,1.0,8.0
55,6,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,54.0
56,3,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
57,3,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,4.0
58,3,3.0,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,3.0
59,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
60,3,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
61,4,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,24.0
62,6,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
63,3,3.0,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,9.0
64,3,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,27.0
65,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
66,3,3.0,2.0,1.0,3.0,,2.0,2.0,1.0,1.0,3.0
67,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
68,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
69,4,6.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,54.0
70,6,2.0,1.0,1.0,3.0,,,1.0,1.0,1.0,36.0
71,3,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
72,2,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
73,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
74,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
75,1,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,,1.0
76,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
77,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
78,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
79,5,6.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,22.0
80,3,4.0,3.0,1.0,3.0,1.0,2.0,,1.0,1.0,
81,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
82,2,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0
83,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
84,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
85,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
86,3,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
87,5,6.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0
88,3,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
89,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
90,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
91,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
92,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
93,3,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,4.0
94,6,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0
95,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
96,2,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
97,5,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0
98,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
99,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
100,3,4.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
101,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
102,4,4.0,3.0,2.0,3.0,1.0,,2.0,1.0,1.0,16.0
103,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
104,2,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
105,5,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,15.0
106,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
107,3,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0
108,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
109,4,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,8.0
110,3,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,7.0
111,5,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
112,6,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0
113,3,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
114,1,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,0.0
115,4,3.0,3.0,2.0,2.0,1.0,2.0,,1.0,1.0,4.0
116,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
117,5,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0
118,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
119,4,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
120,4,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
121,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
122,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
123,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
124,5,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
125,4,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
126,4,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
127,4,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,12.0
128,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
129,4,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
130,4,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0
131,2,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
132,4,3.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,6.0
133,4,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,,3.0
134,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
135,4,4.0,2.0,1.0,,1.0,1.0,2.0,,1.0,12.0
136,6,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,60.0
137,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
138,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
139,4,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
140,2,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
141,4,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
142,6,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,90.0
143,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
144,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,
145,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
146,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
147,3,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,3.0
148,4,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,,3.0
149,2,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
150,4,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
151,2,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0
152,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
153,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,
154,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
155,4,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
156,3,2.0,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,3.0
157,6,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0
158,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
159,4,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
160,2,6.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
161,6,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,72.0
162,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
163,4,6.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
164,4,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
165,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
166,6,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
167,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
168,4,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,6.0
169,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
170,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
171,4,6.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,9.0
172,4,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,6.0
173,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
174,6,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,9.0
175,3,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,9.0
176,2,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
177,6,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
178,1,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0
179,4,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0
180,4,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
181,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
182,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
183,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
184,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
185,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
186,6,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,45.0
187,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
188,5,6.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,68.0
189,4,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0
190,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
191,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
192,2,3.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,4.0
193,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
194,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
195,2,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0
196,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
197,5,6.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,22.0
198,4,4.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,8.0
199,3,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0
200,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
201,2,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
202,3,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
203,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
204,2,3.0,2.0,2.0,3.0,,1.0,2.0,1.0,1.0,9.0
205,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,1.0,3.0
206,5,6.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,20.0
207,4,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,
208,2,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
209,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
210,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
211,3,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,7.0
212,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,
213,6,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0
214,6,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,36.0
215,5,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
216,2,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
217,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
218,2,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
219,3,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
220,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
221,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
222,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
223,5,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
224,3,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
225,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
226,3,4.0,2.0,2.0,2.0,3.0,,2.0,1.0,1.0,18.0
227,3,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
228,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
229,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
230,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
231,5,6.0,3.0,2.0,3.0,1.0,,2.0,2.0,1.0,30.0
232,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
233,3,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
234,1,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
235,3,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
236,3,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
237,2,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,3.0
238,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
239,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
240,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
241,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
242,5,6.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,30.0
243,3,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0
244,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
245,6,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,4.0
246,3,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
247,3,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
248,3,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
249,1,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.0
250,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
251,1,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0
252,6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0
253,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
254,5,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0
255,3,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
256,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
257,6,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,72.0
258,6,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,24.0
259,3,4.0,3.0,1.0,2.0,,1.0,2.0,1.0,1.0,4.0
260,6,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,9.0
261,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
262,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
263,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
264,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
265,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
266,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
267,2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
268,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
269,6,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,36.0
270,3,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
271,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
272,1,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0
273,3,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
274,6,2.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,18.0
275,6,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,24.0
276,6,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,12.0
277,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
278,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
279,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
280,2,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
281,1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
282,6,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0
283,3,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
284,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
285,1,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,0.0
286,2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
287,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
288,2,2.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,3.0
289,2,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
290,6,3.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,27.0
291,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
292,6,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
293,2,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
294,3,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
295,1,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0
296,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
297,2,3.0,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,9.0
298,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
299,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
300,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
301,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
302,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
303,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
304,3,2.0,3.0,1.0,3.0,,1.0,2.0,1.0,1.0,3.0
305,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
306,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
307,6,3.0,1.0,1.0,3.0,1.0,2.0,2.0,,1.0,14.0
308,1,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.0
309,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,18.0
310,2,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
311,2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
312,6,2.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,18.0
313,4,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,8.0
314,3,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
315,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
316,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
317,2,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,3.0
318,6,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,18.0
319,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,
